source,sheet,ID,المجال,المهارة,وصف المعيار,Assessment Question,Expected Development,Importance,Reference,معرف النشاط,اسم النشاط,العمر,المهارة المستهدفة,الهدف,وصف النشاط,الأدوات,المدة,التكرار,مستوى الصعوبة,تعليمات لولي الأمر,النتيجة المتوقعة,المرجع,معرف القاعدة,شرط التقييم,مستوى الشدة,توصية الذكاء الاصطناعي,الأنشطة المقترحة,المتابعة,الإحالة إلى أخصائي,الحقل,القيمة / الوصف,اليوم,رقم النشاط,تم التنفيذ,رقم القالب,الحالة,النص,معرف السؤال,السؤال,نوع الإجابة,الدرجة (نعم),الدرجة (لا),مرتبط بالمعيار,مرتبط بقاعدة القرار,ملاحظات
KB01.xlsx,Age 2,RL001,اللغة الاستقبالية,الاستجابة للاسم,يستجيب عند مناداته باسمه في معظم المواقف.,هل يستجيب الطفل عند مناداته باسمه؟,يستجيب بسرعة في معظم الأوقات.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL002,اللغة الاستقبالية,الانتباه للمتحدث,يوجه انتباهه للشخص الذي يتحدث معه.,هل ينظر إليك عندما تتحدث معه؟,يحافظ على الانتباه لفترة قصيرة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL003,اللغة الاستقبالية,تنفيذ أمر بسيط,ينفذ أمرًا من خطوة واحدة دون مساعدة.,هل يستطيع تنفيذ أمر مثل (هات الكرة)؟,ينفذ أوامر بسيطة.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL004,اللغة الاستقبالية,التعرف على الأشياء المألوفة,يتعرف على الأشياء اليومية عند تسميتها.,هل يشير إلى الأشياء عند ذكر اسمها؟,يتعرف على معظم الأشياء المألوفة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL005,اللغة الاستقبالية,التعرف على أفراد الأسرة,يميز أفراد الأسرة عند ذكر أسمائهم.,هل يشير إلى أحد أفراد الأسرة عند طلب ذلك؟,يميز أفراد الأسرة المقربين.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL006,اللغة الاستقبالية,فهم التعليمات اليومية,يفهم تعليمات مثل اجلس أو تعال.,هل يفهم التعليمات اليومية البسيطة؟,يستجيب للتعليمات الشائعة.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL007,اللغة الاستقبالية,اختيار الشيء الصحيح,يختار الشيء المطلوب من بين عدة أشياء.,هل يعطيك الشيء الذي تطلبه؟,يختار العنصر الصحيح.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL008,اللغة الاستقبالية,التعرف على أجزاء الجسم,يشير إلى أجزاء الجسم عند طلبها.,هل يشير إلى الأنف أو العين عند الطلب؟,يعرف عدة أجزاء من الجسم.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL009,اللغة الاستقبالية,فهم الروتين اليومي,يفهم الأنشطة المتكررة خلال اليوم.,هل يعرف ما يحدث في الروتين اليومي؟,يتوقع الأنشطة اليومية.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL010,اللغة الاستقبالية,متابعة قصة قصيرة,ينتبه إلى قصة قصيرة مناسبة لعمره.,هل ينتبه عند قراءة قصة قصيرة؟,يحافظ على الانتباه أثناء القصة.,داعم,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL011,اللغة الاستقبالية,التعرف على الحيوانات المألوفة,يتعرف على الحيوانات الشائعة عند تسميتها.,هل يشير إلى الحيوان الصحيح عند ذكر اسمه؟,يتعرف على الحيوانات المألوفة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL012,اللغة الاستقبالية,التعرف على وسائل النقل,يميز وسائل النقل الشائعة.,هل يتعرف على السيارة أو الحافلة عند تسميتها؟,يميز وسائل النقل المألوفة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL013,اللغة الاستقبالية,فهم مفاهيم المكان,يفهم مفاهيم مثل فوق وتحت.,هل يفهم كلمات مثل فوق أو تحت؟,يبدأ بفهم مفاهيم مكانية بسيطة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL014,اللغة الاستقبالية,فهم مفاهيم الكمية,يميز بين واحد وكثير.,هل يميز بين شيء واحد وعدة أشياء؟,يبدأ بفهم الكمية البسيطة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL015,اللغة الاستقبالية,الانتباه للكلام,ينتبه عند التحدث إليه.,هل ينتبه عندما تتحدث معه؟,يحافظ على الانتباه لفترة مناسبة.,أساسي,NIDCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL016,اللغة الاستقبالية,التعرف على الصور,يشير إلى الصور الصحيحة في كتاب.,هل يشير إلى الصورة المطلوبة؟,يتعرف على الصور المألوفة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL017,اللغة الاستقبالية,فهم الإيماءات,يفهم الإشارة المصاحبة للكلام.,هل يستجيب عند استخدام الإشارة مع الكلام؟,يفهم الإيماءات اليومية.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL018,اللغة الاستقبالية,التمييز بين الأشياء,يميز بين الأشياء المختلفة.,هل يستطيع اختيار الشيء المختلف؟,يبدأ بالتمييز البسيط.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL019,اللغة الاستقبالية,التعرف على الألعاب,يعرف أسماء ألعابه المفضلة.,هل يتعرف على ألعابه عند تسميتها؟,يعرف أسماء الألعاب المألوفة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,RL020,اللغة الاستقبالية,الاستجابة للتوجيه اللفظي,يستجيب للتوجيهات اللفظية اليومية.,هل يستجيب للتوجيهات اليومية؟,ينفذ التوجيهات المناسبة لعمره.,أساسي,"ASHA, NIDCD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL001,اللغة التعبيرية,استخدام كلمات للتعبير,يستخدم كلمات للتعبير عن احتياجاته.,هل يستخدم كلمات للتعبير عن احتياجاته؟,يستخدم كلمات يوميًا.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL002,اللغة التعبيرية,زيادة المفردات,تزداد مفرداته تدريجيًا.,هل يزداد عدد الكلمات التي يستخدمها؟,يزداد عدد الكلمات مع النمو.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL003,اللغة التعبيرية,تكوين عبارتين,يجمع كلمتين في عبارة بسيطة.,هل يكوّن عبارات من كلمتين؟,يبدأ بتكوين عبارات قصيرة.,أساسي,"ASHA, CDC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL004,اللغة التعبيرية,تسمية الأشياء,يسمي الأشياء المألوفة.,هل يسمي الأشياء حوله؟,يسمي أشياء شائعة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL005,اللغة التعبيرية,طلب الاحتياجات,يطلب الطعام أو الشراب بالكلام.,هل يطلب احتياجاته بالكلام؟,يعبر عن احتياجاته لفظيًا.,أساسي,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL006,اللغة التعبيرية,استخدام الأفعال,يستخدم أفعالًا بسيطة مثل أكل ونام.,هل يستخدم أفعالًا بسيطة؟,يستخدم أفعالًا يومية.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL007,اللغة التعبيرية,تقليد الكلمات,يكرر كلمات جديدة يسمعها.,هل يقلد كلمات جديدة؟,يقلد كلمات مألوفة.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL008,اللغة التعبيرية,الإجابة بكلمة,يجيب عن أسئلة بسيطة بكلمة.,هل يجيب عن أسئلة بسيطة؟,يجيب بكلمة أو كلمتين.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL009,اللغة التعبيرية,استخدام أسماء الأشخاص,يسمي أفراد الأسرة.,هل يسمي أفراد الأسرة؟,يستخدم أسماء مألوفة.,داعم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL010,اللغة التعبيرية,استخدام عبارات التحية,يقول مرحبًا أو مع السلامة.,هل يستخدم عبارات التحية؟,يستخدم تحيات بسيطة.,داعم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL011,اللغة التعبيرية,التعبير عن الرفض,يعبر عن الرفض بالكلام.,هل يقول لا أو يعبر عن رفضه؟,يعبر لفظيًا.,مهم,CDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB01.xlsx,Age 2,EL012,اللغة التعبيرية,التعبير عن الاختيار,يختار بين شيئين بالكلام.,هل يعبر عن اختياره؟,يذكر اختياره.,مهم,ASHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
